SampleID Type Tissue bamReads ReadDepth
PW2O RNASeq muscle /KG/epantaleo/dbGaP-3253/31271_muscle/reads-src/SRP012682/SRS374856/SRX203779/SRR615479_processed/G18497.GTEX-PW2O-1726-SM-2S1OO.1.bam 33105756
PWOO RNASeq lung /KG/epantaleo/dbGaP-3253/31268_lung/reads-src/SRP012682/SRS333090/SRX199083/SRR601311_processed/G16657.GTEX-PWOO-0726.3.bam 77084345
PWOO RNASeq muscle /KG/epantaleo/dbGaP-3253/31271_muscle/reads-src/SRP012682/SRS374917/SRX203913/SRR615105_processed/G18391.GTEX-PWOO-2326-SM-2S1PQ.1.bam 31822592
PX3G RNASeq lung /KG/epantaleo/dbGaP-3253/31268_lung/reads-src/SRP012682/SRS333156/SRX199067/SRR600900_processed/G16667.GTEX-PX3G-0526.3.bam 86337239
PX3G RNASeq muscle /KG/epantaleo/dbGaP-3253/31271_muscle/reads-src/SRP012682/SRS374932/SRX203943/SRR614599_processed/G18394.GTEX-PX3G-1626-SM-2S1PT.1.bam 37500691
Q2AG RNASeq lung /KG/epantaleo/dbGaP-3253/31268_lung/reads-src/SRP012682/SRS332976/SRX198223/SRR598695_processed/G16576.GTEX-Q2AG-1026.3.bam 45041944
Q2AG RNASeq muscle /KG/epantaleo/dbGaP-3253/31271_muscle/reads-src/SRP012682/SRS374811/SRX203682/SRR615273_processed/G18395.GTEX-Q2AG-0426-SM-2S1PU.1.bam 25361246
Q2AH RNASeq lung /KG/epantaleo/dbGaP-3253/31268_lung/reads-src/SRP012682/SRS333399/SRX199610/SRR603188_processed/G16670.GTEX-Q2AH-0426.3.bam 82933791
Q2AH RNASeq muscle /KG/epantaleo/dbGaP-3253/31271_muscle/reads-src/SRP012682/SRS374726/SRX203501/SRR615225_processed/G18402.GTEX-Q2AH-1826-SM-2S1Q2.1.bam 64153492
QCQG RNASeq lung /KG/epantaleo/dbGaP-3253/31268_lung/reads-src/SRP012682/SRS333487/SRX199442/SRR602680_processed/G16673.GTEX-QCQG-0326.3.bam 71500304
QCQG RNASeq muscle /KG/epantaleo/dbGaP-3253/31271_muscle/reads-src/SRP012682/SRS374848/SRX203763/SRR614575_processed/G18373.GTEX-QCQG-2126-SM-2S1P8.1.bam 59977346
QDVJ RNASeq lung /KG/epantaleo/dbGaP-3253/31268_lung/reads-src/SRP012682/SRS333454/SRX199401/SRR608542_processed/G16786.GTEX-QDVJ-0926.3.bam 97646024
QDVJ RNASeq muscle /KG/epantaleo/dbGaP-3253/31271_muscle/reads-src/SRP012682/SRS374800/SRX203659/SRR613126_processed/G18384.GTEX-QDVJ-1926-SM-2S1PJ.1.bam 58922115
QDVN RNASeq lung /KG/epantaleo/dbGaP-3253/31268_lung/reads-src/SRP012682/SRS333027/SRX199514/SRR603092_processed/G16704.GTEX-QDVN-0726.3.bam 63153039
QDVN RNASeq muscle /KG/epantaleo/dbGaP-3253/31271_muscle/reads-src/SRP012682/SRS375004/SRX204099/SRR617829_processed/G18404.GTEX-QDVN-2426-SM-2S1Q4.1.bam 78217265
QEG5 RNASeq lung /KG/epantaleo/dbGaP-3253/31268_lung/reads-src/SRP012682/SRS333540/SRX199689/SRR603620_processed/G16807.GTEX-QEG5-1126.4.bam 47252335
QEG5 RNASeq muscle /KG/epantaleo/dbGaP-3253/31271_muscle/reads-src/SRP012682/SRS333482/SRX199016/SRR600656_processed/G16809.GTEX-QEG5-0426.3.bam 106009005
QESD RNASeq lung /KG/epantaleo/dbGaP-3253/31268_lung/reads-src/SRP012682/SRS333361/SRX199748/SRR608630_processed/G16795.GTEX-QESD-0626.3.bam 82291062
QESD RNASeq muscle /KG/epantaleo/dbGaP-3253/31271_muscle/reads-src/SRP012682/SRS374733/SRX203515/SRR615311_processed/G18445.GTEX-QESD-1626-SM-2S1RB.1.bam 48483627
QV44 RNASeq lung /KG/epantaleo/dbGaP-3253/31268_lung/reads-src/SRP012682/SRS374693/SRX203432/SRR612239_processed/G18451.GTEX-QV44-0926-SM-2S1RH.1.bam 25164729
QV44 RNASeq muscle /KG/epantaleo/dbGaP-3253/31271_muscle/reads-src/SRP012682/SRS374725/SRX203499/SRR612395_processed/G18447.GTEX-QV44-2026-SM-2S1RD.1.bam 85687875
QXCU RNASeq lung /KG/epantaleo/dbGaP-3253/31268_lung/reads-src/SRP012682/SRS374941/SRX203963/SRR615129_processed/G18708.GTEX-QXCU-0626-SM-2TC69.2.bam 65919380
QXCU RNASeq muscle /KG/epantaleo/dbGaP-3253/31271_muscle/reads-src/SRP012682/SRS374764/SRX203584/SRR612803_processed/G18720.GTEX-QXCU-1726-SM-2TC6L.2.bam 69927411
REY6 RNASeq lung /KG/epantaleo/dbGaP-3253/31268_lung/reads-src/SRP012682/SRS374754/SRX203562/SRR612755_processed/G18619.GTEX-REY6-0426-SM-2TF5G.1.bam 20700354
REY6 RNASeq muscle /KG/epantaleo/dbGaP-3253/31271_muscle/reads-src/SRP012682/SRS374858/SRX203783/SRR613426_processed/G18596.GTEX-REY6-0826-SM-2TF4S.1.bam 82339705
RM2N RNASeq lung /KG/epantaleo/dbGaP-3253/31268_lung/reads-src/SRP012682/SRS374801/SRX203662/SRR613138_processed/G18597.GTEX-RM2N-0426-SM-2TF4T.1.bam 95350933
RM2N RNASeq muscle /KG/epantaleo/dbGaP-3253/31271_muscle/reads-src/SRP012682/SRS374898/SRX203871/SRR613699_processed/G18626.GTEX-RM2N-1626-SM-2TF5N.1.bam 61182333
RN64 RNASeq lung /KG/epantaleo/dbGaP-3253/31268_lung/reads-src/SRP012682/SRS374946/SRX203977/SRR614359_processed/G18713.GTEX-RN64-1226-SM-2TC6E.2.bam 52469786
RN64 RNASeq muscle /KG/epantaleo/dbGaP-3253/31271_muscle/reads-src/SRP012682/SRS374819/SRX203699/SRR613330_processed/G18683.GTEX-RN64-0326-SM-2TC5J.2.bam 71636318
RNOR RNASeq lung /KG/epantaleo/dbGaP-3253/31268_lung/reads-src/SRP012682/SRS374987/SRX204065/SRR615695_processed/G18621.GTEX-RNOR-0726-SM-2TF5I.1.bam 93920111
RNOR RNASeq muscle /KG/epantaleo/dbGaP-3253/31271_muscle/reads-src/SRP012682/SRS374956/SRX203999/SRR614263_processed/G18592.GTEX-RNOR-0526-SM-2TF4O.1.bam 80398443
RTLS RNASeq lung /KG/epantaleo/dbGaP-3253/31268_lung/reads-src/SRP012682/SRS374792/SRX203644/SRR613066_processed/G18636.GTEX-RTLS-0926-SM-2TF5X.1.bam 48951637
RTLS RNASeq muscle /KG/epantaleo/dbGaP-3253/31271_muscle/reads-src/SRP012682/SRS374692/SRX203430/SRR612227_processed/G18642.GTEX-RTLS-0526-SM-2TF64.1.bam 61718601
RU1J RNASeq lung /KG/epantaleo/dbGaP-3253/31268_lung/reads-src/SRP012682/SRS374980/SRX204048/SRR615539_processed/G18672.GTEX-RU1J-0126-SM-2TF6Y.1.bam 49585502
RU1J RNASeq muscle /KG/epantaleo/dbGaP-3253/31271_muscle/reads-src/SRP012682/SRS374698/SRX203443/SRR612635_processed/G18631.GTEX-RU1J-1726-SM-2TF5S.1.bam 44611709
RU72 RNASeq lung /KG/epantaleo/dbGaP-3253/31268_lung/reads-src/SRP012682/SRS374760/SRX203574/SRR614948_processed/G18638.GTEX-RU72-0526-SM-2TF5Z.1.bam 35567421
RU72 RNASeq muscle /KG/epantaleo/dbGaP-3253/31271_muscle/reads-src/SRP012682/SRS374965/SRX204016/SRR615044_processed/G18667.GTEX-RU72-1326-SM-2TF6T.1.bam 49966240
RUSQ RNASeq lung /KG/epantaleo/dbGaP-3253/31268_lung/reads-src/SRP012682/SRS374855/SRX203778/SRR613414_processed/G18634.GTEX-RUSQ-0626-SM-2TF5V.1.bam 45598803
RUSQ RNASeq muscle /KG/epantaleo/dbGaP-3253/31271_muscle/reads-src/SRP012682/SRS374968/SRX204022/SRR614852_processed/G18646.GTEX-RUSQ-1726-SM-2TF68.1.bam 31896354
SIU7 RNASeq lung /KG/epantaleo/dbGaP-3253/31268_lung/reads-src/SRP012682/SRS408204/SRX260083/SRR809065_processed/G26533.GTEX-SIU7-0526-SM-3NM8I.1.bam 101045989
SIU7 RNASeq muscle /KG/epantaleo/dbGaP-3253/31271_muscle/reads-src/SRP012682/SRS388999/SRX221202/SRR654802_processed/G19436.GTEX-SIU7-1826-SM-2XCE2.1.bam 35826549
V1D1 RNASeq lung /KG/epantaleo/dbGaP-3253/31268_lung/reads-src/SRP012682/SRS408638/SRX261309/SRR817166_processed/G26741.GTEX-V1D1-0826-SM-3P5ZA.2.bam 106161783
V1D1 RNASeq muscle /KG/epantaleo/dbGaP-3253/31271_muscle/reads-src/SRP012682/SRS389898/SRX223256/SRR662498_processed/G23376.GTEX-V1D1-2426-SM-3GAER.1.bam 79968267
WHPG RNASeq lung /KG/epantaleo/dbGaP-3253/31268_lung/reads-src/SRP012682/SRS408167/SRX259992/SRR808472_processed/G26630.GTEX-WHPG-1426-SM-3NMBB.1.bam 94429679
WHPG RNASeq muscle /KG/epantaleo/dbGaP-3253/31271_muscle/reads-src/SRP012682/SRS408240/SRX260171/SRR809595_processed/G26643.GTEX-WHPG-2226-SM-3NMBO.1.bam 108308444
WK11 RNASeq lung /KG/epantaleo/dbGaP-3253/31268_lung/reads-src/SRP012682/SRS408228/SRX260132/SRR809296_processed/G25959.GTEX-WK11-0526-SM-3NB3O.2.bam 119757665
WK11 RNASeq muscle /KG/epantaleo/dbGaP-3253/31271_muscle/reads-src/SRP012682/SRS408494/SRX260967/SRR815020_processed/G26583.GTEX-WK11-2526-SM-3NM9Y.1.bam 115494836
WYJK RNASeq lung /KG/epantaleo/dbGaP-3253/31268_lung/reads-src/SRP012682/SRS408121/SRX259886/SRR807824_processed/G26549.GTEX-WYJK-0826-SM-3NM8Y.1.bam 135181270
WYJK RNASeq muscle /KG/epantaleo/dbGaP-3253/31271_muscle/reads-src/SRP012682/SRS408277/SRX260267/SRR810225_processed/G26579.GTEX-WYJK-1726-SM-3NM9U.1.bam 115314920
O5YV RNASeq lung /KG/epantaleo/dbGaP-3253/31268_lung/reads-src/SRP012682/SRS333498/SRX199289/SRR601723_processed/G16804.GTEX-O5YV-0526.3.bam 136377482
O5YV RNASeq muscle /KG/epantaleo/dbGaP-3253/31271_muscle/reads-src/SRP012682/SRS377779/SRX207873/SRR627439_processed/G14579.GTEX-O5YV-2026.2.bam 66612101
O5YV RNASeq lung /KG/epantaleo/dbGaP-3253/31268_lung/reads-src/SRP012682/SRS377776/SRX207870/SRR627437_processed/G14566.GTEX-O5YV-0526.2.bam 16941503
O5YV RNASeq muscle /KG/epantaleo/dbGaP-3253/31271_muscle/reads-src/SRP012682/SRS332992/SRX199341/SRR606974_processed/G15458.GTEX-O5YV-2026.2.bam 45467702
O5YV RNASeq lung /KG/epantaleo/dbGaP-3253/31268_lung/reads-src/SRP012682/SRS377769/SRX207861/SRR627464_processed/G14578.GTEX-O5YV-0526.2.bam 45038054
O5YV RNASeq muscle /KG/epantaleo/dbGaP-3253/31271_muscle/reads-src/SRP012682/SRS377765/SRX207857/SRR627431_processed/G14567.GTEX-O5YV-2026.2.bam 23855491
QV31 RNASeq muscle /KG/epantaleo/dbGaP-3253/31271_muscle/reads-src/SRP012682/SRS374708/SRX203463/SRR612539_processed/G18412.GTEX-QV31-1426-SM-2S1QD.1.bam 40299819
R55G RNASeq lung /KG/epantaleo/dbGaP-3253/31268_lung/reads-src/SRP012682/SRS374775/SRX203607/SRR612887_processed/G18694.GTEX-R55G-0826-SM-2TC5U.2.bam 65933925
RVPV RNASeq lung /KG/epantaleo/dbGaP-3253/31268_lung/reads-src/SRP012682/SRS374763/SRX203580/SRR612791_processed/G18635.GTEX-RVPV-1726-SM-2TF5W.1.bam 19754830
